,Rating,Title,Year
327,7.4,Hey Arnold: The Jungle Movie,2017
328,6.5,The Interview,2014
329,8.5,Springsteen on Broadway,2018
330,6.8,21,2008
331,7.2,Heneral Luna,2015
332,6.8,Mary and the Witch's Flower,2017
333,6.3,Bright,2017
334,7.6,The Seven Five,2014
335,6.9,Outlaw King,2018
336,6.0,MTV New Year's Bash 2011,2010
337,6.3,Cargo,2017
338,6.4,Turbo,2013
339,6.8,Calibre,2018
340,7.0,Echo in the Canyon,2018
341,6.5,Tomorrow Never Dies,1997
342,6.9,The Naked Gun 2½: The Smell of Fear,1991
343,6.3,WWE: 205 Live,2016
344,6.7,Final Destination,2000
345,5.9,Candyman,2021
346,7.4,Bombshell: The Hedy Lamarr Story,2017
347,8.8,Muse - Live at Rome Olympic Stadium,2013
348,7.2,Water and Sugar,2016
349,8.2,Cuba and the Cameraman,2017
350,7.3,Blue Jay,2016
351,6.1,The Promise,2016
352,6.9,Black Snake Moan,2006
353,6.9,Soul Boys of the Western World,2014
354,6.9,Kill the Messenger,2014
355,8.0,Richard Pryor: Live in Concert,1979
356,5.7,Sour Grapes,1998
357,7.2,First They Killed My Father,2017
358,6.8,Beavis and Butt-Head Do America,1996
359,7.6,Being Elmo: A Puppeteer's Journey,2011
360,7.7,Udta Punjab,2016
361,7.2,Betting on Zero,2016
362,7.8,Remember the Titans,2000
363,8.6,The British and Irish Lions Tour to Australia 2013,2013
364,6.2,1922,2017
365,5.6,Men in Black: International,2019
366,6.9,The Duchess,2008
367,7.4,Even the Rain,2010
368,6.8,Teenage Mutant Ninja Turtles,1990
369,6.7,Clouds of Sils Maria,2014
370,6.3,Spectral,2016
371,7.8,The Devil We Know,2018
372,7.0,Becoming Jane,2007
373,7.3,The Cakemaker,2017
374,7.0,The Great Battle,2018
375,6.9,Suffragette,2015
376,6.8,The Imaginarium of Doctor Parnassus,2009
377,6.9,Kingpin,1996
378,6.6,Super Dark Times,2017
379,6.3,The Ritual,2017
380,7.7,Good Girls,2018
381,7.0,P.S. I Love You,2007
382,6.4,She's Out of My League,2010
383,4.8,Madea's Big Happy Family,2011
384,7.3,Dear Ex,2018
385,6.5,Terminator Salvation,2009
386,6.5,Master Z: The Ip Man Legacy,2018
387,6.9,Chitty Chitty Bang Bang,1968
388,7.6,Williams,2017
389,6.9,Junebug,2005
390,7.5,Jodhaa Akbar,2008
391,7.2,The 24 Hour War,2016
392,6.2,Austin Powers in Goldmember,2002
393,8.1,Bobby Robson: More Than a Manager,2018
394,6.6,Next Gen,2018
395,6.4,The World Is Not Enough,1999
396,6.6,Salting the Battlefield,2014
397,7.3,Get Me Roger Stone,2017
398,7.6,The Sky Is Pink,2019
399,6.3,The Babysitter,2017
400,7.4,Holding the Man,2015
401,5.5,The Bounty Hunter,2010
402,6.7,Tallulah,2016
403,7.0,Handsome Devil,2016
404,7.1,Nowhere Boy,2009
405,6.4,Click,2006
406,6.3,Kursk,2012
407,7.4,Us and Them,2018
408,7.6,Delhi Belly,2011
409,6.1,Die Another Day,2002
410,6.7,Rachel Getting Married,2008
411,6.6,Peter Rabbit,2018
412,7.4,Tyson,2008
413,5.6,Spy Kids,2001
414,7.5,Ai Weiwei: Never Sorry,2012
415,5.6,Hold the Dark,2018
416,7.6,Only the Dead,2015
417,6.3,Bleach,2018
418,6.5,Fractured,2019
419,5.0,A separation: a conversation with Asghar Farhadi and Babak Karimi,2011
420,6.9,Christine,2016
421,6.7,Gringo: The Dangerous Life of John McAfee,2016
422,7.0,The Dirt,2019
423,7.1,Mune: Guardian of the Moon,2014
424,6.8,Other People,2016
425,7.0,Suite Française,2014
426,7.9,Ugly,2013
427,6.6,Event Horizon,1997
428,7.5,Seeking True Love,2017
429,7.4,The Last Man on the Moon,2014
430,6.3,Scary Movie,2000
431,6.9,Traitor,2008
432,6.3,Alex Strangelove,2018
433,8.2,My Father and My Son,2005
434,7.2,The Siege of Jadotville,2016
435,6.5,The Forbidden Kingdom,2008
436,7.9,Trouble in Paradise,1932
437,7.0,Kill the Irishman,2011
438,7.0,The Water Diviner,2014
439,7.4,Filmworker,2017
440,6.7,Princess Cyd,2017
441,6.7,While We Live,2017
442,6.6,Retribution,2015
443,6.6,The Grandmaster,2013
444,7.0,Gaga: Five Foot Two,2017
445,7.3,Shirkers,2018
446,5.9,Cam,2018
447,6.3,Young Adult,2011
448,7.4,Ice Guardians,2016
449,5.6,Charlie's Angels,2000
450,6.2,Anger Management,2003
451,6.3,Hotel Transylvania 3: Summer Vacation,2018
452,7.5,Spitfire,2018
453,6.4,The Longest Yard,2005
454,6.8,The Exception,2016
455,7.0,The Sapphires,2012
456,7.7,Oceans,2009
457,5.9,9½ Weeks,1986
458,6.4,The Craft,1996
459,6.4,Mississippi Grind,2015
460,7.0,Mansfield Park,1999
461,6.9,Camp X-Ray,2014
462,6.6,The Pirate Fairy,2014
463,6.4,Burlesque,2010
464,6.8,Om Shanti Om,2007
465,6.5,Behind the Curve,2018
466,6.1,The Waterboy,1998
467,3.2,Black Sea 213,2000
468,7.7,Forks Over Knives,2011
469,7.7,You,2018
470,6.2,Final Destination 2,2003
471,7.3,The Accountant of Auschwitz,2018
472,6.7,Little Men,2016
473,6.3,He Never Died,2015
474,7.5,How to Change the World,2015
475,6.4,DragonHeart,1996
476,7.6,Bathtubs Over Broadway,2018
477,6.7,Hot Rod,2007
478,7.7,Beasts of No Nation,2015
479,7.8,Kai Po Che,2013
480,7.2,Ittefaq,2017
481,6.4,Chappaquiddick,2017
482,7.1,5 to 7,2014
483,6.1,Personal Shopper,2016
484,7.7,Badla,2019
485,5.6,Comic Relief: Red Nose Day 2013,2013
486,7.3,Kevin Hart: Laugh at My Pain,2011
487,6.6,What Lies Beneath,2000
488,6.1,Bee Movie,2007
489,6.5,The Informant!,2009
490,6.7,The Gift,2000
491,7.1,Tinker Bell and the Legend of the NeverBeast,2014
492,6.7,The Kindergarten Teacher,2018
493,7.0,One of Us,2017
